Price,Date,Close,High,Low,Open,Volume
Ticker,,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS,DSSL.NS
154,2008-08-13,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
155,2008-08-14,7.183538436889648,7.183538436889648,7.183538436889648,7.183538436889648,0
156,2008-08-18,7.662441730499268,7.662441730499268,7.183539122343063,7.662441730499268,9320
157,2008-08-19,7.183538436889648,7.662440999348958,7.183538436889648,7.662440999348958,6244
158,2008-08-20,7.662441730499268,7.662441730499268,7.183539122343063,7.183539122343063,13052
159,2008-08-21,7.662441730499268,8.141344338655472,7.183539122343063,7.183539122343063,14199
160,2008-08-22,7.183538436889648,7.662440999348958,7.183538436889648,7.662440999348958,4203
161,2008-08-25,7.183538436889648,7.662440999348958,7.183538436889648,7.662440999348958,5103
162,2008-08-26,7.662441730499268,7.662441730499268,7.183539122343063,7.183539122343063,12346
163,2008-08-27,7.183538436889648,7.662440999348958,7.183538436889648,7.662440999348958,16762
164,2008-08-28,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,9932
165,2008-08-29,7.183538436889648,7.183538436889648,6.7046358744303385,6.7046358744303385,4061
166,2008-09-01,7.183538436889648,7.183538436889648,6.7046358744303385,7.183538436889648,13368
167,2008-09-02,7.183538436889648,7.183538436889648,6.7046358744303385,7.183538436889648,1768
168,2008-09-04,7.662441730499268,7.662441730499268,6.704636514186859,7.183539122343063,22171
169,2008-09-05,7.662441730499268,8.141344338655472,7.183539122343063,7.662441730499268,9184
170,2008-09-08,8.141345024108887,8.141345024108887,7.1835397271548995,7.662442375631893,11986
171,2008-09-09,7.662441730499268,8.141344338655472,7.662441730499268,8.141344338655472,1736
172,2008-09-10,8.141345024108887,8.141345024108887,7.1835397271548995,7.1835397271548995,18110
173,2008-09-11,8.141345024108887,8.141345024108887,7.662442375631893,7.662442375631893,3231
174,2008-09-12,7.662441730499268,8.141344338655472,7.662441730499268,7.662441730499268,10005
175,2008-09-15,7.183538436889648,8.141343561808268,7.183538436889648,8.141343561808268,4725
176,2008-09-16,6.704636573791504,7.183539186205183,6.704636573791504,6.704636573791504,11848
177,2008-09-17,6.225734233856201,6.704636867229755,6.225734233856201,6.704636867229755,8834
178,2008-09-18,6.225734233856201,6.225734233856201,5.746831600482647,6.225734233856201,7567
179,2008-09-19,7.183538436889648,7.183538436889648,5.746830749511719,6.7046358744303385,17126
180,2008-09-22,7.662441730499268,7.662441730499268,6.704636514186859,7.183539122343063,9629
181,2008-09-23,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,8534
182,2008-09-24,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,4574
183,2008-09-25,6.704636573791504,7.183539186205183,6.704636573791504,7.183539186205183,1504
184,2008-09-26,6.704636573791504,7.183539186205183,6.704636573791504,6.704636573791504,12123
185,2008-09-29,6.225734233856201,6.704636867229755,6.225734233856201,6.704636867229755,11368
186,2008-09-30,5.746830940246582,6.225733518600464,5.746830940246582,6.225733518600464,4325
187,2008-10-01,6.225734233856201,6.225734233856201,5.746831600482647,6.225734233856201,8632
188,2008-10-03,6.225734233856201,6.225734233856201,5.746831600482647,5.746831600482647,6557
189,2008-10-06,5.267928600311279,5.746831200339577,5.267928600311279,5.746831200339577,6626
